climatic_year;date;value
2000;1900-01-01 00:00:00;27461.28
2000;1900-01-01 01:00:00;26877.67
2000;1900-01-01 02:00:00;26011.97
2000;1900-01-01 03:00:00;25496.14
2000;1900-01-01 04:00:00;25500.00
2000;1900-01-01 05:00:00;26454.56
2000;1900-01-01 06:00:00;27263.12
2000;1900-01-01 07:00:00;28187.00
2000;1900-01-01 08:00:00;29356.04
2000;1900-01-01 09:00:00;29666.45
2000;1900-01-01 10:00:00;30234.05
2000;1900-01-01 11:00:00;30126.51
2000;1900-01-01 12:00:00;30272.23
2000;1900-01-01 13:00:00;30377.56
2000;1900-01-01 14:00:00;30319.93
2000;1900-01-01 15:00:00;31006.56
2000;1900-01-01 16:00:00;32161.70
2000;1900-01-01 17:00:00;34136.66
2000;1900-01-01 18:00:00;34478.96
2000;1900-01-01 19:00:00;33500.91
2000;1900-01-01 20:00:00;31826.28
2000;1900-01-01 21:00:00;31267.78
2000;1900-01-01 22:00:00;30600.25
2000;1900-01-01 23:00:00;31366.00
2000;1900-01-02 00:00:00;29642.35
2000;1900-01-02 01:00:00;28670.60
2000;1900-01-02 02:00:00;27867.16
2000;1900-01-02 03:00:00;27582.57
2000;1900-01-02 04:00:00;27747.09
2000;1900-01-02 05:00:00;28559.76
2000;1900-01-02 06:00:00;30533.50
2000;1900-01-02 07:00:00;31021.42
2000;1900-01-02 08:00:00;34360.59
2000;1900-01-02 09:00:00;35271.91
2000;1900-01-02 10:00:00;35393.50
2000;1900-01-02 11:00:00;35420.04
2000;1900-01-02 12:00:00;35033.97
2000;1900-01-02 13:00:00;34926.38
2000;1900-01-02 14:00:00;35159.91
2000;1900-01-02 15:00:00;34887.24
2000;1900-01-02 16:00:00;35056.48
2000;1900-01-02 17:00:00;35260.90
2000;1900-01-02 18:00:00;34794.49
2000;1900-01-02 19:00:00;33766.13
2000;1900-01-02 20:00:00;32256.91
2000;1900-01-02 21:00:00;31074.48
2000;1900-01-02 22:00:00;29799.51
2000;1900-01-02 23:00:00;30987.13
2000;1900-01-03 00:00:00;29779.82
2000;1900-01-03 01:00:00;28788.27
2000;1900-01-03 02:00:00;27913.10
2000;1900-01-03 03:00:00;27573.93
2000;1900-01-03 04:00:00;27878.98
2000;1900-01-03 05:00:00;28892.10
2000;1900-01-03 06:00:00;30933.79
2000;1900-01-03 07:00:00;31419.48
2000;1900-01-03 08:00:00;35026.53
2000;1900-01-03 09:00:00;35733.05
2000;1900-01-03 10:00:00;35939.73
2000;1900-01-03 11:00:00;35843.79
2000;1900-01-03 12:00:00;35625.19
2000;1900-01-03 13:00:00;35973.65
2000;1900-01-03 14:00:00;35840.29
2000;1900-01-03 15:00:00;35604.36
2000;1900-01-03 16:00:00;35566.59
2000;1900-01-03 17:00:00;35646.92
2000;1900-01-03 18:00:00;34908.02
2000;1900-01-03 19:00:00;33487.59
2000;1900-01-03 20:00:00;31925.17
2000;1900-01-03 21:00:00;30875.08
2000;1900-01-03 22:00:00;29815.45
2000;1900-01-03 23:00:00;31072.68
2000;1900-01-04 00:00:00;29590.54
2000;1900-01-04 01:00:00;28575.79
2000;1900-01-04 02:00:00;27774.31
2000;1900-01-04 03:00:00;27665.01
2000;1900-01-04 04:00:00;28157.38
2000;1900-01-04 05:00:00;29359.09
2000;1900-01-04 06:00:00;31593.55
2000;1900-01-04 07:00:00;32097.21
2000;1900-01-04 08:00:00;35991.68
2000;1900-01-04 09:00:00;36677.32
2000;1900-01-04 10:00:00;36638.85
2000;1900-01-04 11:00:00;36373.28
2000;1900-01-04 12:00:00;36215.07
2000;1900-01-04 13:00:00;36274.46
2000;1900-01-04 14:00:00;36420.60
2000;1900-01-04 15:00:00;36286.10
2000;1900-01-04 16:00:00;36383.87
2000;1900-01-04 17:00:00;36336.92
2000;1900-01-04 18:00:00;35490.67
2000;1900-01-04 19:00:00;34397.84
2000;1900-01-04 20:00:00;32878.37
2000;1900-01-04 21:00:00;31855.07
2000;1900-01-04 22:00:00;30644.91
2000;1900-01-04 23:00:00;32494.59
2000;1900-01-05 00:00:00;30978.96
2000;1900-01-05 01:00:00;29938.36
2000;1900-01-05 02:00:00;29071.28
2000;1900-01-05 03:00:00;28372.71
2000;1900-01-05 04:00:00;28501.48
2000;1900-01-05 05:00:00;29390.44
2000;1900-01-05 06:00:00;31257.80
2000;1900-01-05 07:00:00;31036.93
2000;1900-01-05 08:00:00;34221.83
2000;1900-01-05 09:00:00;35452.31
2000;1900-01-05 10:00:00;36310.20
2000;1900-01-05 11:00:00;36084.46
2000;1900-01-05 12:00:00;35364.78
2000;1900-01-05 13:00:00;35309.95
2000;1900-01-05 14:00:00;35104.87
2000;1900-01-05 15:00:00;34917.73
2000;1900-01-05 16:00:00;35198.24
2000;1900-01-05 17:00:00;35752.58
2000;1900-01-05 18:00:00;35125.85
2000;1900-01-05 19:00:00;34122.67
2000;1900-01-05 20:00:00;32703.96
2000;1900-01-05 21:00:00;31722.74
2000;1900-01-05 22:00:00;30782.25
2000;1900-01-05 23:00:00;31202.86
2000;1900-01-06 00:00:00;29036.83
2000;1900-01-06 01:00:00;28006.67
2000;1900-01-06 02:00:00;27018.64
2000;1900-01-06 03:00:00;26598.68
2000;1900-01-06 04:00:00;26510.99
2000;1900-01-06 05:00:00;26559.20
2000;1900-01-06 06:00:00;27047.68
2000;1900-01-06 07:00:00;28647.93
2000;1900-01-06 08:00:00;30822.67
2000;1900-01-06 09:00:00;32573.97
2000;1900-01-06 10:00:00;33603.39
2000;1900-01-06 11:00:00;33910.04
2000;1900-01-06 12:00:00;33510.77
2000;1900-01-06 13:00:00;33085.90
2000;1900-01-06 14:00:00;32812.17
2000;1900-01-06 15:00:00;32682.46
2000;1900-01-06 16:00:00;33547.89
2000;1900-01-06 17:00:00;34678.98
2000;1900-01-06 18:00:00;34385.13
2000;1900-01-06 19:00:00;33484.52
2000;1900-01-06 20:00:00;32330.57
2000;1900-01-06 21:00:00;31537.90
2000;1900-01-06 22:00:00;30804.55
2000;1900-01-06 23:00:00;29786.22
2000;1900-01-07 00:00:00;28273.07
2000;1900-01-07 01:00:00;27419.84
2000;1900-01-07 02:00:00;26451.95
2000;1900-01-07 03:00:00;26113.45
2000;1900-01-07 04:00:00;25920.71
2000;1900-01-07 05:00:00;26216.21
2000;1900-01-07 06:00:00;26468.38
2000;1900-01-07 07:00:00;27559.12
2000;1900-01-07 08:00:00;29180.34
2000;1900-01-07 09:00:00;30253.95
2000;1900-01-07 10:00:00;30960.18
2000;1900-01-07 11:00:00;31388.51
2000;1900-01-07 12:00:00;31420.90
2000;1900-01-07 13:00:00;31230.08
2000;1900-01-07 14:00:00;31022.01
2000;1900-01-07 15:00:00;31233.56
2000;1900-01-07 16:00:00;32453.00
2000;1900-01-07 17:00:00;34478.46
2000;1900-01-07 18:00:00;34759.11
2000;1900-01-07 19:00:00;33777.56
2000;1900-01-07 20:00:00;32560.76
2000;1900-01-07 21:00:00;31645.85
2000;1900-01-07 22:00:00;30768.28
2000;1900-01-07 23:00:00;29953.84
2000;1900-01-08 00:00:00;28542.60
2000;1900-01-08 01:00:00;27661.08
2000;1900-01-08 02:00:00;26703.99
2000;1900-01-08 03:00:00;26415.87
2000;1900-01-08 04:00:00;26817.30
2000;1900-01-08 05:00:00;28631.99
2000;1900-01-08 06:00:00;31162.53
2000;1900-01-08 07:00:00;32004.63
2000;1900-01-08 08:00:00;35874.75
2000;1900-01-08 09:00:00;36642.45
2000;1900-01-08 10:00:00;36693.89
2000;1900-01-08 11:00:00;36361.12
2000;1900-01-08 12:00:00;35648.83
2000;1900-01-08 13:00:00;35946.86
2000;1900-01-08 14:00:00;35864.46
2000;1900-01-08 15:00:00;36044.54
2000;1900-01-08 16:00:00;35851.76
2000;1900-01-08 17:00:00;36127.82
2000;1900-01-08 18:00:00;35502.90
2000;1900-01-08 19:00:00;34300.45
2000;1900-01-08 20:00:00;32488.67
2000;1900-01-08 21:00:00;31255.01
2000;1900-01-08 22:00:00;29693.95
2000;1900-01-08 23:00:00;31876.40
2000;1900-01-09 00:00:00;30329.71
2000;1900-01-09 01:00:00;29401.77
2000;1900-01-09 02:00:00;28552.77
2000;1900-01-09 03:00:00;28340.33
2000;1900-01-09 04:00:00;28546.20
2000;1900-01-09 05:00:00;29528.88
2000;1900-01-09 06:00:00;31857.97
2000;1900-01-09 07:00:00;32532.92
2000;1900-01-09 08:00:00;36342.06
2000;1900-01-09 09:00:00;37173.20
