climatic_year;date;value
2000;1900-01-01 00:00:00;67571
2000;1900-01-01 01:00:00;65261
2000;1900-01-01 02:00:00;62643
2000;1900-01-01 03:00:00;60283
2000;1900-01-01 04:00:00;58922
2000;1900-01-01 05:00:00;59475
2000;1900-01-01 06:00:00;60087
2000;1900-01-01 07:00:00;60834
2000;1900-01-01 08:00:00;62292
2000;1900-01-01 09:00:00;64009
2000;1900-01-01 10:00:00;65894
2000;1900-01-01 11:00:00;67514
2000;1900-01-01 12:00:00;64848
2000;1900-01-01 13:00:00;62590
2000;1900-01-01 14:00:00;61419
2000;1900-01-01 15:00:00;61248
2000;1900-01-01 16:00:00;64939
2000;1900-01-01 17:00:00;67399
2000;1900-01-01 18:00:00;66382
2000;1900-01-01 19:00:00;64540
2000;1900-01-01 20:00:00;63276
2000;1900-01-01 21:00:00;66113
2000;1900-01-01 22:00:00;66374
2000;1900-01-01 23:00:00;63094
2000;1900-01-02 00:00:00;62901
2000;1900-01-02 01:00:00;60806
2000;1900-01-02 02:00:00;59295
2000;1900-01-02 03:00:00;58202
2000;1900-01-02 04:00:00;58482
2000;1900-01-02 05:00:00;63418
2000;1900-01-02 06:00:00;67080
2000;1900-01-02 07:00:00;69846
2000;1900-01-02 08:00:00;72169
2000;1900-01-02 09:00:00;72827
2000;1900-01-02 10:00:00;74357
2000;1900-01-02 11:00:00;74859
2000;1900-01-02 12:00:00;72571
2000;1900-01-02 13:00:00;71321
2000;1900-01-02 14:00:00;70225
2000;1900-01-02 15:00:00;70729
2000;1900-01-02 16:00:00;74555
2000;1900-01-02 17:00:00;76592
2000;1900-01-02 18:00:00;73939
2000;1900-01-02 19:00:00;70216
2000;1900-01-02 20:00:00;68286
2000;1900-01-02 21:00:00;70906
2000;1900-01-02 22:00:00;70708
2000;1900-01-02 23:00:00;68501
2000;1900-01-03 00:00:00;68267
2000;1900-01-03 01:00:00;66098
2000;1900-01-03 02:00:00;64523
2000;1900-01-03 03:00:00;63364
2000;1900-01-03 04:00:00;64091
2000;1900-01-03 05:00:00;70241
2000;1900-01-03 06:00:00;75156
2000;1900-01-03 07:00:00;77318
2000;1900-01-03 08:00:00;78531
2000;1900-01-03 09:00:00;77969
2000;1900-01-03 10:00:00;78211
2000;1900-01-03 11:00:00;77855
2000;1900-01-03 12:00:00;75456
2000;1900-01-03 13:00:00;74067
2000;1900-01-03 14:00:00;72975
2000;1900-01-03 15:00:00;73517
2000;1900-01-03 16:00:00;77795
2000;1900-01-03 17:00:00;80367
2000;1900-01-03 18:00:00;78104
2000;1900-01-03 19:00:00;73743
2000;1900-01-03 20:00:00;71248
2000;1900-01-03 21:00:00;73789
2000;1900-01-03 22:00:00;73626
2000;1900-01-03 23:00:00;69268
2000;1900-01-04 00:00:00;68969
2000;1900-01-04 01:00:00;66663
2000;1900-01-04 02:00:00;64939
2000;1900-01-04 03:00:00;63659
2000;1900-01-04 04:00:00;64267
2000;1900-01-04 05:00:00;70298
2000;1900-01-04 06:00:00;74948
2000;1900-01-04 07:00:00;76881
2000;1900-01-04 08:00:00;77897
2000;1900-01-04 09:00:00;77185
