climatic_year;date;value
2000;1900-01-01 00:00:00;55337.69
2000;1900-01-01 01:00:00;51421.02
2000;1900-01-01 02:00:00;50681.91
2000;1900-01-01 03:00:00;51023.18
2000;1900-01-01 04:00:00;52569.69
2000;1900-01-01 05:00:00;56085.36
2000;1900-01-01 06:00:00;60002.96
2000;1900-01-01 07:00:00;63470.36
2000;1900-01-01 08:00:00;65970.04
2000;1900-01-01 09:00:00;68910.75
2000;1900-01-01 10:00:00;71850.45
2000;1900-01-01 11:00:00;72467.47
2000;1900-01-01 12:00:00;71932.28
2000;1900-01-01 13:00:00;71009.42
2000;1900-01-01 14:00:00;70837.63
2000;1900-01-01 15:00:00;72749.46
2000;1900-01-01 16:00:00;76102.34
2000;1900-01-01 17:00:00;76648.70
2000;1900-01-01 18:00:00;75163.01
2000;1900-01-01 19:00:00;71109.04
2000;1900-01-01 20:00:00;67266.16
2000;1900-01-01 21:00:00;64097.72
2000;1900-01-01 22:00:00;59890.71
2000;1900-01-01 23:00:00;56364.63
2000;1900-01-02 00:00:00;59803.06
2000;1900-01-02 01:00:00;58043.21
2000;1900-01-02 02:00:00;58088.72
2000;1900-01-02 03:00:00;60144.07
2000;1900-01-02 04:00:00;65015.66
2000;1900-01-02 05:00:00;70855.34
2000;1900-01-02 06:00:00;75753.43
2000;1900-01-02 07:00:00;79895.68
2000;1900-01-02 08:00:00;83251.96
2000;1900-01-02 09:00:00;84755.00
2000;1900-01-02 10:00:00;85597.39
2000;1900-01-02 11:00:00;86637.03
2000;1900-01-02 12:00:00;86692.41
2000;1900-01-02 13:00:00;85779.38
2000;1900-01-02 14:00:00;85384.00
2000;1900-01-02 15:00:00;87518.17
2000;1900-01-02 16:00:00;91787.17
2000;1900-01-02 17:00:00;93438.33
2000;1900-01-02 18:00:00;92653.59
2000;1900-01-02 19:00:00;87710.39
2000;1900-01-02 20:00:00;81156.95
2000;1900-01-02 21:00:00;75269.04
2000;1900-01-02 22:00:00;69211.30
2000;1900-01-02 23:00:00;64801.71
2000;1900-01-03 00:00:00;60675.05
2000;1900-01-03 01:00:00;58848.62
2000;1900-01-03 02:00:00;58919.36
2000;1900-01-03 03:00:00;60887.97
2000;1900-01-03 04:00:00;65710.53
2000;1900-01-03 05:00:00;71561.06
2000;1900-01-03 06:00:00;76453.74
2000;1900-01-03 07:00:00;80580.72
2000;1900-01-03 08:00:00;83856.98
2000;1900-01-03 09:00:00;85293.45
2000;1900-01-03 10:00:00;86197.75
2000;1900-01-03 11:00:00;87201.95
2000;1900-01-03 12:00:00;87288.06
2000;1900-01-03 13:00:00;86359.71
2000;1900-01-03 14:00:00;86087.19
2000;1900-01-03 15:00:00;88125.38
2000;1900-01-03 16:00:00;92324.06
2000;1900-01-03 17:00:00;93909.97
2000;1900-01-03 18:00:00;93037.08
2000;1900-01-03 19:00:00;88029.68
2000;1900-01-03 20:00:00;81610.87
2000;1900-01-03 21:00:00;75732.45
2000;1900-01-03 22:00:00;69604.20
2000;1900-01-03 23:00:00;65191.97
2000;1900-01-04 00:00:00;60995.99
2000;1900-01-04 01:00:00;59211.61
2000;1900-01-04 02:00:00;59189.32
2000;1900-01-04 03:00:00;61046.15
2000;1900-01-04 04:00:00;65470.66
2000;1900-01-04 05:00:00;71256.10
2000;1900-01-04 06:00:00;76214.69
2000;1900-01-04 07:00:00;80353.77
2000;1900-01-04 08:00:00;83649.98
2000;1900-01-04 09:00:00;85186.40
2000;1900-01-04 10:00:00;86023.73
2000;1900-01-04 11:00:00;87083.44
2000;1900-01-04 12:00:00;87384.39
2000;1900-01-04 13:00:00;86536.45
2000;1900-01-04 14:00:00;86363.77
2000;1900-01-04 15:00:00;88106.12
2000;1900-01-04 16:00:00;91789.50
2000;1900-01-04 17:00:00;93203.32
2000;1900-01-04 18:00:00;92175.69
2000;1900-01-04 19:00:00;87060.16
2000;1900-01-04 20:00:00;80586.07
2000;1900-01-04 21:00:00;74754.74
2000;1900-01-04 22:00:00;68627.63
2000;1900-01-04 23:00:00;64133.44
2000;1900-01-05 00:00:00;60080.74
2000;1900-01-05 01:00:00;58389.92
2000;1900-01-05 02:00:00;58654.51
2000;1900-01-05 03:00:00;60758.56
2000;1900-01-05 04:00:00;65381.70
2000;1900-01-05 05:00:00;71347.12
2000;1900-01-05 06:00:00;76783.28
2000;1900-01-05 07:00:00;81160.52
2000;1900-01-05 08:00:00;84538.02
2000;1900-01-05 09:00:00;85274.02
2000;1900-01-05 10:00:00;85457.73
2000;1900-01-05 11:00:00;85503.92
2000;1900-01-05 12:00:00;84835.26
2000;1900-01-05 13:00:00;83397.25
2000;1900-01-05 14:00:00;83056.09
2000;1900-01-05 15:00:00;85512.41
2000;1900-01-05 16:00:00;90373.68
2000;1900-01-05 17:00:00;91853.54
2000;1900-01-05 18:00:00;90928.55
2000;1900-01-05 19:00:00;86060.10
2000;1900-01-05 20:00:00;80178.49
2000;1900-01-05 21:00:00;75098.13
2000;1900-01-05 22:00:00;69492.54
2000;1900-01-05 23:00:00;65000.15
2000;1900-01-06 00:00:00;62378.14
2000;1900-01-06 01:00:00;59773.04
2000;1900-01-06 02:00:00;58524.52
2000;1900-01-06 03:00:00;58160.56
2000;1900-01-06 04:00:00;58465.19
2000;1900-01-06 05:00:00;60727.15
2000;1900-01-06 06:00:00;64693.53
2000;1900-01-06 07:00:00;68658.22
2000;1900-01-06 08:00:00;73823.80
2000;1900-01-06 09:00:00;75413.36
2000;1900-01-06 10:00:00;76934.83
2000;1900-01-06 11:00:00;77117.48
2000;1900-01-06 12:00:00;75554.04
2000;1900-01-06 13:00:00;74395.39
2000;1900-01-06 14:00:00;74260.22
2000;1900-01-06 15:00:00;76773.17
2000;1900-01-06 16:00:00;81521.71
2000;1900-01-06 17:00:00;81858.56
2000;1900-01-06 18:00:00;79631.59
2000;1900-01-06 19:00:00;74916.67
2000;1900-01-06 20:00:00;71200.79
2000;1900-01-06 21:00:00;68522.56
2000;1900-01-06 22:00:00;63932.78
2000;1900-01-06 23:00:00;59788.93
2000;1900-01-07 00:00:00;58146.57
2000;1900-01-07 01:00:00;55436.84
2000;1900-01-07 02:00:00;54031.87
2000;1900-01-07 03:00:00;53496.15
2000;1900-01-07 04:00:00;52873.98
2000;1900-01-07 05:00:00;54338.90
2000;1900-01-07 06:00:00;58130.16
2000;1900-01-07 07:00:00;61990.27
2000;1900-01-07 08:00:00;64944.75
2000;1900-01-07 09:00:00;68235.66
2000;1900-01-07 10:00:00;71382.31
2000;1900-01-07 11:00:00;72004.57
2000;1900-01-07 12:00:00;70692.92
2000;1900-01-07 13:00:00;69583.57
2000;1900-01-07 14:00:00;69687.29
2000;1900-01-07 15:00:00;72360.51
2000;1900-01-07 16:00:00;77116.99
2000;1900-01-07 17:00:00;78373.55
2000;1900-01-07 18:00:00;77401.56
2000;1900-01-07 19:00:00;73954.12
2000;1900-01-07 20:00:00;71265.42
2000;1900-01-07 21:00:00;68995.37
2000;1900-01-07 22:00:00;64849.06
2000;1900-01-07 23:00:00;61326.44
2000;1900-01-08 00:00:00;60574.28
2000;1900-01-08 01:00:00;58917.72
2000;1900-01-08 02:00:00;59276.26
2000;1900-01-08 03:00:00;61879.73
2000;1900-01-08 04:00:00;67751.57
2000;1900-01-08 05:00:00;75783.86
2000;1900-01-08 06:00:00;82502.19
2000;1900-01-08 07:00:00;86715.08
2000;1900-01-08 08:00:00;89285.52
2000;1900-01-08 09:00:00;90422.32
2000;1900-01-08 10:00:00;90942.69
2000;1900-01-08 11:00:00;91905.71
2000;1900-01-08 12:00:00;92196.12
2000;1900-01-08 13:00:00;91345.59
2000;1900-01-08 14:00:00;90785.45
2000;1900-01-08 15:00:00;92222.58
2000;1900-01-08 16:00:00;95817.06
2000;1900-01-08 17:00:00;97136.91
2000;1900-01-08 18:00:00;96409.92
2000;1900-01-08 19:00:00;91096.03
2000;1900-01-08 20:00:00;84599.80
2000;1900-01-08 21:00:00;78630.74
2000;1900-01-08 22:00:00;72385.49
2000;1900-01-08 23:00:00;67872.49
2000;1900-01-09 00:00:00;64286.73
2000;1900-01-09 01:00:00;62485.54
2000;1900-01-09 02:00:00;62702.83
2000;1900-01-09 03:00:00;65001.15
2000;1900-01-09 04:00:00;70309.08
2000;1900-01-09 05:00:00;77888.37
2000;1900-01-09 06:00:00;84233.11
2000;1900-01-09 07:00:00;88151.66
2000;1900-01-09 08:00:00;90744.32
2000;1900-01-09 09:00:00;91965.67
2000;1900-01-09 10:00:00;92566.11
2000;1900-01-09 11:00:00;93441.67
2000;1900-01-09 12:00:00;93827.47
2000;1900-01-09 13:00:00;92848.94
2000;1900-01-09 14:00:00;92388.12
2000;1900-01-09 15:00:00;93736.67
2000;1900-01-09 16:00:00;97353.98
2000;1900-01-09 17:00:00;98697.11
2000;1900-01-09 18:00:00;98120.55
2000;1900-01-09 19:00:00;92866.12
2000;1900-01-09 20:00:00;86286.47
2000;1900-01-09 21:00:00;80225.11
2000;1900-01-09 22:00:00;74114.60
2000;1900-01-09 23:00:00;69624.19
2000;1900-01-10 00:00:00;66927.21
2000;1900-01-10 01:00:00;65140.65
2000;1900-01-10 02:00:00;65258.00
2000;1900-01-10 03:00:00;67241.78
2000;1900-01-10 04:00:00;72447.10
2000;1900-01-10 05:00:00;80646.73
2000;1900-01-10 06:00:00;87252.59
2000;1900-01-10 07:00:00;91293.90
2000;1900-01-10 08:00:00;93494.55
2000;1900-01-10 09:00:00;94296.28
2000;1900-01-10 10:00:00;94584.02
2000;1900-01-10 11:00:00;95193.42
2000;1900-01-10 12:00:00;95505.63
2000;1900-01-10 13:00:00;94626.50
2000;1900-01-10 14:00:00;94208.30
2000;1900-01-10 15:00:00;95562.74
2000;1900-01-10 16:00:00;99578.84
2000;1900-01-10 17:00:00;101088.84
2000;1900-01-10 18:00:00;100497.49
2000;1900-01-10 19:00:00;95242.71
2000;1900-01-10 20:00:00;88617.57
2000;1900-01-10 21:00:00;82469.44
2000;1900-01-10 22:00:00;76169.26
2000;1900-01-10 23:00:00;71700.23
2000;1900-01-11 00:00:00;68559.98
2000;1900-01-11 01:00:00;66651.24
2000;1900-01-11 02:00:00;66670.44
2000;1900-01-11 03:00:00;68419.61
2000;1900-01-11 04:00:00;73399.31
2000;1900-01-11 05:00:00;81591.19
2000;1900-01-11 06:00:00;88203.46
2000;1900-01-11 07:00:00;92272.13
2000;1900-01-11 08:00:00;94401.52
2000;1900-01-11 09:00:00;95015.68
2000;1900-01-11 10:00:00;94957.04
2000;1900-01-11 11:00:00;95312.41
2000;1900-01-11 12:00:00;95462.03
2000;1900-01-11 13:00:00;94580.98
2000;1900-01-11 14:00:00;94373.83
2000;1900-01-11 15:00:00;95887.15
2000;1900-01-11 16:00:00;100274.69
2000;1900-01-11 17:00:00;101882.99
2000;1900-01-11 18:00:00;101332.82
2000;1900-01-11 19:00:00;96046.70
2000;1900-01-11 20:00:00;89433.01
2000;1900-01-11 21:00:00;83303.63
2000;1900-01-11 22:00:00;77004.44
2000;1900-01-11 23:00:00;72518.92
2000;1900-01-12 00:00:00;68203.91
2000;1900-01-12 01:00:00;66388.11
2000;1900-01-12 02:00:00;66483.28
2000;1900-01-12 03:00:00;68330.64
2000;1900-01-12 04:00:00;73327.35
2000;1900-01-12 05:00:00;81448.89
2000;1900-01-12 06:00:00;88113.32
2000;1900-01-12 07:00:00;92486.67
2000;1900-01-12 08:00:00;94632.19
2000;1900-01-12 09:00:00;94889.11
2000;1900-01-12 10:00:00;94589.32
2000;1900-01-12 11:00:00;94397.86
2000;1900-01-12 12:00:00;93943.04
2000;1900-01-12 13:00:00;92734.93
2000;1900-01-12 14:00:00;92487.08
2000;1900-01-12 15:00:00;94068.00
2000;1900-01-12 16:00:00;98759.98
2000;1900-01-12 17:00:00;100263.53
2000;1900-01-12 18:00:00;99330.34
2000;1900-01-12 19:00:00;93960.74
2000;1900-01-12 20:00:00;87636.53
2000;1900-01-12 21:00:00;81948.13
2000;1900-01-12 22:00:00;75839.57
2000;1900-01-12 23:00:00;71299.26
2000;1900-01-13 00:00:00;67778.26
