climatic_year;date;value
2000;1900-01-01 00:00:00;24538.80
2000;1900-01-01 01:00:00;22523.59
2000;1900-01-01 02:00:00;21461.68
2000;1900-01-01 03:00:00;21095.51
2000;1900-01-01 04:00:00;21239.43
2000;1900-01-01 05:00:00;23346.06
2000;1900-01-01 06:00:00;26757.20
2000;1900-01-01 07:00:00;29468.56
2000;1900-01-01 08:00:00;32036.97
2000;1900-01-01 09:00:00;33726.07
2000;1900-01-01 10:00:00;34147.42
2000;1900-01-01 11:00:00;33326.51
2000;1900-01-01 12:00:00;31320.07
2000;1900-01-01 13:00:00;30848.07
2000;1900-01-01 14:00:00;31024.47
2000;1900-01-01 15:00:00;32841.19
2000;1900-01-01 16:00:00;37168.29
2000;1900-01-01 17:00:00;38183.72
2000;1900-01-01 18:00:00;38732.14
2000;1900-01-01 19:00:00;38094.54
2000;1900-01-01 20:00:00;37561.32
2000;1900-01-01 21:00:00;34514.06
2000;1900-01-01 22:00:00;31547.81
2000;1900-01-01 23:00:00;28423.48
2000;1900-01-02 00:00:00;29602.64
2000;1900-01-02 01:00:00;27085.74
2000;1900-01-02 02:00:00;25957.27
2000;1900-01-02 03:00:00;25649.95
2000;1900-01-02 04:00:00;26848.70
2000;1900-01-02 05:00:00;30706.18
2000;1900-01-02 06:00:00;36070.57
2000;1900-01-02 07:00:00;40506.91
2000;1900-01-02 08:00:00;43158.36
2000;1900-01-02 09:00:00;44424.26
2000;1900-01-02 10:00:00;43603.49
2000;1900-01-02 11:00:00;42348.23
2000;1900-01-02 12:00:00;40987.41
2000;1900-01-02 13:00:00;41116.21
2000;1900-01-02 14:00:00;41466.42
2000;1900-01-02 15:00:00;43081.56
2000;1900-01-02 16:00:00;46904.49
2000;1900-01-02 17:00:00;47186.52
2000;1900-01-02 18:00:00;46585.33
2000;1900-01-02 19:00:00;44115.34
2000;1900-01-02 20:00:00;42384.03
2000;1900-01-02 21:00:00;38661.31
2000;1900-01-02 22:00:00;35543.96
2000;1900-01-02 23:00:00;32371.52
2000;1900-01-03 00:00:00;29909.55
2000;1900-01-03 01:00:00;27401.25
2000;1900-01-03 02:00:00;26311.37
2000;1900-01-03 03:00:00;26081.59
2000;1900-01-03 04:00:00;27307.47
2000;1900-01-03 05:00:00;31160.03
2000;1900-01-03 06:00:00;36419.29
2000;1900-01-03 07:00:00;40738.69
2000;1900-01-03 08:00:00;43314.37
2000;1900-01-03 09:00:00;44487.29
2000;1900-01-03 10:00:00;43699.40
2000;1900-01-03 11:00:00;42238.14
2000;1900-01-03 12:00:00;40939.50
2000;1900-01-03 13:00:00;40982.46
2000;1900-01-03 14:00:00;41165.16
2000;1900-01-03 15:00:00;42770.58
2000;1900-01-03 16:00:00;46750.79
2000;1900-01-03 17:00:00;47511.91
2000;1900-01-03 18:00:00;46773.35
2000;1900-01-03 19:00:00;44092.32
2000;1900-01-03 20:00:00;42979.27
2000;1900-01-03 21:00:00;39279.73
2000;1900-01-03 22:00:00;36060.50
2000;1900-01-03 23:00:00;32839.66
2000;1900-01-04 00:00:00;30417.53
2000;1900-01-04 01:00:00;27917.30
2000;1900-01-04 02:00:00;26695.66
2000;1900-01-04 03:00:00;26386.04
2000;1900-01-04 04:00:00;27565.32
2000;1900-01-04 05:00:00;31445.78
2000;1900-01-04 06:00:00;36656.23
2000;1900-01-04 07:00:00;40986.54
2000;1900-01-04 08:00:00;43332.73
2000;1900-01-04 09:00:00;44428.81
2000;1900-01-04 10:00:00;43302.52
2000;1900-01-04 11:00:00;41997.89
2000;1900-01-04 12:00:00;40554.68
2000;1900-01-04 13:00:00;40571.72
2000;1900-01-04 14:00:00;40858.67
2000;1900-01-04 15:00:00;42516.99
2000;1900-01-04 16:00:00;46372.83
2000;1900-01-04 17:00:00;47180.33
2000;1900-01-04 18:00:00;46204.81
2000;1900-01-04 19:00:00;43705.14
2000;1900-01-04 20:00:00;42628.01
2000;1900-01-04 21:00:00;38983.67
2000;1900-01-04 22:00:00;35693.87
2000;1900-01-04 23:00:00;32442.35
2000;1900-01-05 00:00:00;29904.84
2000;1900-01-05 01:00:00;27392.56
2000;1900-01-05 02:00:00;26177.22
2000;1900-01-05 03:00:00;25906.71
2000;1900-01-05 04:00:00;27028.27
2000;1900-01-05 05:00:00;30795.41
2000;1900-01-05 06:00:00;35868.58
2000;1900-01-05 07:00:00;40110.45
2000;1900-01-05 08:00:00;42598.07
2000;1900-01-05 09:00:00;43638.49
2000;1900-01-05 10:00:00;42653.21
2000;1900-01-05 11:00:00;41253.69
2000;1900-01-05 12:00:00;39614.41
2000;1900-01-05 13:00:00;39683.61
2000;1900-01-05 14:00:00;39844.39
2000;1900-01-05 15:00:00;41321.86
2000;1900-01-05 16:00:00;45378.73
2000;1900-01-05 17:00:00;45034.23
2000;1900-01-05 18:00:00;44331.98
2000;1900-01-05 19:00:00;41838.07
2000;1900-01-05 20:00:00;40978.06
