climatic_year;date;value
2000;1900-01-01 00:00:00;33741.40
2000;1900-01-01 01:00:00;31675.82
2000;1900-01-01 02:00:00;29814.15
2000;1900-01-01 03:00:00;28181.21
2000;1900-01-01 04:00:00;26958.90
2000;1900-01-01 05:00:00;25680.13
2000;1900-01-01 06:00:00;26046.78
2000;1900-01-01 07:00:00;28242.34
2000;1900-01-01 08:00:00;31635.47
2000;1900-01-01 09:00:00;35170.35
2000;1900-01-01 10:00:00;36986.39
2000;1900-01-01 11:00:00;37662.06
2000;1900-01-01 12:00:00;38440.73
2000;1900-01-01 13:00:00;37858.86
2000;1900-01-01 14:00:00;36153.43
2000;1900-01-01 15:00:00;34956.04
2000;1900-01-01 16:00:00;35236.91
2000;1900-01-01 17:00:00;38162.04
2000;1900-01-01 18:00:00;41803.44
2000;1900-01-01 19:00:00;43918.76
2000;1900-01-01 20:00:00;44596.21
2000;1900-01-01 21:00:00;43014.10
2000;1900-01-01 22:00:00;39989.62
2000;1900-01-01 23:00:00;38024.51
2000;1900-01-02 00:00:00;33845.68
2000;1900-01-02 01:00:00;31921.41
2000;1900-01-02 02:00:00;30264.89
2000;1900-01-02 03:00:00;28877.26
2000;1900-01-02 04:00:00;28309.93
2000;1900-01-02 05:00:00;28126.32
2000;1900-01-02 06:00:00;29665.15
2000;1900-01-02 07:00:00;33089.11
2000;1900-01-02 08:00:00;37244.95
2000;1900-01-02 09:00:00;40508.61
2000;1900-01-02 10:00:00;41853.91
2000;1900-01-02 11:00:00;42243.84
2000;1900-01-02 12:00:00;42341.25
2000;1900-01-02 13:00:00;41237.82
2000;1900-01-02 14:00:00;39553.53
2000;1900-01-02 15:00:00;38413.48
2000;1900-01-02 16:00:00;38347.33
2000;1900-01-02 17:00:00;40124.29
2000;1900-01-02 18:00:00;42936.76
2000;1900-01-02 19:00:00;45188.97
2000;1900-01-02 20:00:00;45690.05
2000;1900-01-02 21:00:00;43322.31
2000;1900-01-02 22:00:00;39868.20
2000;1900-01-02 23:00:00;37741.08
2000;1900-01-03 00:00:00;34189.21
2000;1900-01-03 01:00:00;32264.69
2000;1900-01-03 02:00:00;30598.21
2000;1900-01-03 03:00:00;29193.69
2000;1900-01-03 04:00:00;28614.01
2000;1900-01-03 05:00:00;28382.37
2000;1900-01-03 06:00:00;29831.22
2000;1900-01-03 07:00:00;33200.55
2000;1900-01-03 08:00:00;37388.96
2000;1900-01-03 09:00:00;40706.52
2000;1900-01-03 10:00:00;42122.45
2000;1900-01-03 11:00:00;42547.32
2000;1900-01-03 12:00:00;42680.81
2000;1900-01-03 13:00:00;41595.57
2000;1900-01-03 14:00:00;39915.15
2000;1900-01-03 15:00:00;38738.31
2000;1900-01-03 16:00:00;38695.54
2000;1900-01-03 17:00:00;40432.41
2000;1900-01-03 18:00:00;43178.37
2000;1900-01-03 19:00:00;45387.80
2000;1900-01-03 20:00:00;45886.87
2000;1900-01-03 21:00:00;43525.74
2000;1900-01-03 22:00:00;40085.52
2000;1900-01-03 23:00:00;37971.24
2000;1900-01-04 00:00:00;33803.36
2000;1900-01-04 01:00:00;31787.50
2000;1900-01-04 02:00:00;30075.64
2000;1900-01-04 03:00:00;28647.84
2000;1900-01-04 04:00:00;28082.77
2000;1900-01-04 05:00:00;27900.12
2000;1900-01-04 06:00:00;29445.79
2000;1900-01-04 07:00:00;32960.03
2000;1900-01-04 08:00:00;37290.18
2000;1900-01-04 09:00:00;40729.40
2000;1900-01-04 10:00:00;42233.14
2000;1900-01-04 11:00:00;42706.48
2000;1900-01-04 12:00:00;42912.88
2000;1900-01-04 13:00:00;41801.29
2000;1900-01-04 14:00:00;40096.73
2000;1900-01-04 15:00:00;38917.95
2000;1900-01-04 16:00:00;38813.43
2000;1900-01-04 17:00:00;40516.43
2000;1900-01-04 18:00:00;43253.69
2000;1900-01-04 19:00:00;45444.58
2000;1900-01-04 20:00:00;45962.98
2000;1900-01-04 21:00:00;43517.78
2000;1900-01-04 22:00:00;39967.18
2000;1900-01-04 23:00:00;37734.43
2000;1900-01-05 00:00:00;34117.15
2000;1900-01-05 01:00:00;32189.02
2000;1900-01-05 02:00:00;30497.93
2000;1900-01-05 03:00:00;29079.24
2000;1900-01-05 04:00:00;28491.39
2000;1900-01-05 05:00:00;28226.29
2000;1900-01-05 06:00:00;29639.32
2000;1900-01-05 07:00:00;33034.31
2000;1900-01-05 08:00:00;37268.19
2000;1900-01-05 09:00:00;40726.50
2000;1900-01-05 10:00:00;42317.52
2000;1900-01-05 11:00:00;42858.01
2000;1900-01-05 12:00:00;43157.88
2000;1900-01-05 13:00:00;42163.80
2000;1900-01-05 14:00:00;40546.35
2000;1900-01-05 15:00:00;39365.07
2000;1900-01-05 16:00:00;39249.17
2000;1900-01-05 17:00:00;41031.05
2000;1900-01-05 18:00:00;43709.50
2000;1900-01-05 19:00:00;45688.48
2000;1900-01-05 20:00:00;46147.67
2000;1900-01-05 21:00:00;43840.84
2000;1900-01-05 22:00:00;40393.17
2000;1900-01-05 23:00:00;38250.38
2000;1900-01-06 00:00:00;33833.64
2000;1900-01-06 01:00:00;31615.80
2000;1900-01-06 02:00:00;29706.56
2000;1900-01-06 03:00:00;28172.40
2000;1900-01-06 04:00:00;27126.31
2000;1900-01-06 05:00:00;26194.34
2000;1900-01-06 06:00:00;27010.27
2000;1900-01-06 07:00:00;29549.23
2000;1900-01-06 08:00:00;33031.38
2000;1900-01-06 09:00:00;36537.36
2000;1900-01-06 10:00:00;38370.66
2000;1900-01-06 11:00:00;39019.49
2000;1900-01-06 12:00:00;39807.68
2000;1900-01-06 13:00:00;39249.80
2000;1900-01-06 14:00:00;37538.05
2000;1900-01-06 15:00:00;36345.62
2000;1900-01-06 16:00:00;36556.39
2000;1900-01-06 17:00:00;39223.24
2000;1900-01-06 18:00:00;42608.67
2000;1900-01-06 19:00:00;44630.71
2000;1900-01-06 20:00:00;45245.10
2000;1900-01-06 21:00:00;43554.18
2000;1900-01-06 22:00:00;40390.77
2000;1900-01-06 23:00:00;37996.66
2000;1900-01-07 00:00:00;33361.99
2000;1900-01-07 01:00:00;31354.16
2000;1900-01-07 02:00:00;29665.07
2000;1900-01-07 03:00:00;28341.05
2000;1900-01-07 04:00:00;27792.97
2000;1900-01-07 05:00:00;27617.44
2000;1900-01-07 06:00:00;28915.62
2000;1900-01-07 07:00:00;31726.24
2000;1900-01-07 08:00:00;35310.14
2000;1900-01-07 09:00:00;38472.55
2000;1900-01-07 10:00:00;39913.42
2000;1900-01-07 11:00:00;40376.28
2000;1900-01-07 12:00:00;40702.82
2000;1900-01-07 13:00:00;39546.03
2000;1900-01-07 14:00:00;37675.69
2000;1900-01-07 15:00:00;36514.21
2000;1900-01-07 16:00:00;36505.66
2000;1900-01-07 17:00:00;38401.79
2000;1900-01-07 18:00:00;41325.79
2000;1900-01-07 19:00:00;43581.03
2000;1900-01-07 20:00:00;44037.35
2000;1900-01-07 21:00:00;41845.33
2000;1900-01-07 22:00:00;38677.35
2000;1900-01-07 23:00:00;36531.72
2000;1900-01-08 00:00:00;36271.09
2000;1900-01-08 01:00:00;34388.72
2000;1900-01-08 02:00:00;32950.68
2000;1900-01-08 03:00:00;31977.92
2000;1900-01-08 04:00:00;32653.18
2000;1900-01-08 05:00:00;35200.70
2000;1900-01-08 06:00:00;39963.51
2000;1900-01-08 07:00:00;45090.41
2000;1900-01-08 08:00:00;49003.67
2000;1900-01-08 09:00:00;51352.79
2000;1900-01-08 10:00:00;52059.24
2000;1900-01-08 11:00:00;52124.99
2000;1900-01-08 12:00:00;51700.45
2000;1900-01-08 13:00:00;50006.39
2000;1900-01-08 14:00:00;48269.13
2000;1900-01-08 15:00:00;47444.34
2000;1900-01-08 16:00:00;47493.98
2000;1900-01-08 17:00:00;49367.48
2000;1900-01-08 18:00:00;52604.48
2000;1900-01-08 19:00:00;54906.18
2000;1900-01-08 20:00:00;54141.10
2000;1900-01-08 21:00:00;49828.56
2000;1900-01-08 22:00:00;44987.44
2000;1900-01-08 23:00:00;42158.02
2000;1900-01-09 00:00:00;36380.28
2000;1900-01-09 01:00:00;34498.98
2000;1900-01-09 02:00:00;33080.94
2000;1900-01-09 03:00:00;32137.60
2000;1900-01-09 04:00:00;32855.45
2000;1900-01-09 05:00:00;35363.50
2000;1900-01-09 06:00:00;39999.54
2000;1900-01-09 07:00:00;45073.71
2000;1900-01-09 08:00:00;48981.79
2000;1900-01-09 09:00:00;51364.79
2000;1900-01-09 10:00:00;52208.74
2000;1900-01-09 11:00:00;52335.47
2000;1900-01-09 12:00:00;52021.97
