climatic_year;date;value
2000;1900-01-01 00:00:00;16824.83
2000;1900-01-01 01:00:00;16553.93
2000;1900-01-01 02:00:00;16461.68
2000;1900-01-01 03:00:00;16964.57
2000;1900-01-01 04:00:00;16281.93
2000;1900-01-01 05:00:00;18779.30
2000;1900-01-01 06:00:00;19462.85
2000;1900-01-01 07:00:00;20657.40
2000;1900-01-01 08:00:00;21784.53
2000;1900-01-01 09:00:00;22566.71
2000;1900-01-01 10:00:00;22742.78
2000;1900-01-01 11:00:00;22664.12
2000;1900-01-01 12:00:00;22558.82
2000;1900-01-01 13:00:00;22137.80
2000;1900-01-01 14:00:00;22017.79
2000;1900-01-01 15:00:00;22762.42
2000;1900-01-01 16:00:00;22644.97
2000;1900-01-01 17:00:00;22402.74
2000;1900-01-01 18:00:00;22310.42
2000;1900-01-01 19:00:00;21684.56
2000;1900-01-01 20:00:00;20595.00
2000;1900-01-01 21:00:00;19558.71
2000;1900-01-01 22:00:00;18040.53
2000;1900-01-01 23:00:00;19949.21
2000;1900-01-02 00:00:00;19445.57
2000;1900-01-02 01:00:00;19034.22
2000;1900-01-02 02:00:00;18892.95
2000;1900-01-02 03:00:00;19322.95
2000;1900-01-02 04:00:00;20032.11
2000;1900-01-02 05:00:00;21777.89
2000;1900-01-02 06:00:00;23348.77
2000;1900-01-02 07:00:00;24359.82
2000;1900-01-02 08:00:00;25341.25
2000;1900-01-02 09:00:00;26078.37
2000;1900-01-02 10:00:00;26272.62
2000;1900-01-02 11:00:00;26138.30
2000;1900-01-02 12:00:00;25964.43
2000;1900-01-02 13:00:00;25623.15
2000;1900-01-02 14:00:00;25507.52
2000;1900-01-02 15:00:00;26124.71
2000;1900-01-02 16:00:00;25970.92
2000;1900-01-02 17:00:00;25770.34
2000;1900-01-02 18:00:00;25586.10
2000;1900-01-02 19:00:00;25102.71
2000;1900-01-02 20:00:00;24085.56
2000;1900-01-02 21:00:00;23070.75
2000;1900-01-02 22:00:00;21587.83
2000;1900-01-02 23:00:00;20230.64
2000;1900-01-03 00:00:00;19652.37
2000;1900-01-03 01:00:00;19189.07
2000;1900-01-03 02:00:00;19059.16
2000;1900-01-03 03:00:00;19358.90
2000;1900-01-03 04:00:00;20106.95
2000;1900-01-03 05:00:00;21949.80
2000;1900-01-03 06:00:00;23458.11
2000;1900-01-03 07:00:00;24168.97
2000;1900-01-03 08:00:00;24750.09
2000;1900-01-03 09:00:00;25257.85
2000;1900-01-03 10:00:00;25409.89
2000;1900-01-03 11:00:00;25339.45
2000;1900-01-03 12:00:00;25237.75
2000;1900-01-03 13:00:00;25011.17
2000;1900-01-03 14:00:00;25055.19
2000;1900-01-03 15:00:00;25759.86
2000;1900-01-03 16:00:00;25536.16
2000;1900-01-03 17:00:00;25374.11
2000;1900-01-03 18:00:00;25285.78
2000;1900-01-03 19:00:00;24784.69
2000;1900-01-03 20:00:00;23798.48
2000;1900-01-03 21:00:00;22804.02
2000;1900-01-03 22:00:00;21394.94
2000;1900-01-03 23:00:00;20018.16
2000;1900-01-04 00:00:00;19460.76
2000;1900-01-04 01:00:00;19028.43
2000;1900-01-04 02:00:00;18915.96
2000;1900-01-04 03:00:00;19253.10
2000;1900-01-04 04:00:00;20029.25
2000;1900-01-04 05:00:00;21919.44
2000;1900-01-04 06:00:00;23425.33
2000;1900-01-04 07:00:00;24175.44
2000;1900-01-04 08:00:00;24767.35
2000;1900-01-04 09:00:00;25247.07
2000;1900-01-04 10:00:00;25356.05
2000;1900-01-04 11:00:00;25247.56
2000;1900-01-04 12:00:00;25117.64
2000;1900-01-04 13:00:00;24867.60
2000;1900-01-04 14:00:00;24877.67
2000;1900-01-04 15:00:00;25580.88
2000;1900-01-04 16:00:00;25357.70
2000;1900-01-04 17:00:00;25193.07
2000;1900-01-04 18:00:00;25082.48
2000;1900-01-04 19:00:00;24599.55
2000;1900-01-04 20:00:00;23613.49
2000;1900-01-04 21:00:00;22624.27
2000;1900-01-04 22:00:00;21203.07
2000;1900-01-04 23:00:00;19217.99
2000;1900-01-05 00:00:00;18652.29
2000;1900-01-05 01:00:00;18230.21
2000;1900-01-05 02:00:00;18146.56
2000;1900-01-05 03:00:00;18477.40
2000;1900-01-05 04:00:00;19282.43
2000;1900-01-05 05:00:00;21226.87
2000;1900-01-05 06:00:00;22765.69
2000;1900-01-05 07:00:00;23479.02
2000;1900-01-05 08:00:00;24010.09
2000;1900-01-05 09:00:00;24464.13
2000;1900-01-05 10:00:00;24589.87
2000;1900-01-05 11:00:00;24523.11
2000;1900-01-05 12:00:00;24412.02
2000;1900-01-05 13:00:00;24157.92
2000;1900-01-05 14:00:00;24158.65
2000;1900-01-05 15:00:00;24875.50
2000;1900-01-05 16:00:00;24628.11
2000;1900-01-05 17:00:00;24449.08
2000;1900-01-05 18:00:00;24341.67
2000;1900-01-05 19:00:00;23829.14
2000;1900-01-05 20:00:00;22826.56
2000;1900-01-05 21:00:00;21830.29
2000;1900-01-05 22:00:00;20421.67
2000;1900-01-05 23:00:00;18713.24
2000;1900-01-06 00:00:00;18117.07
2000;1900-01-06 01:00:00;17630.41
2000;1900-01-06 02:00:00;17574.57
2000;1900-01-06 03:00:00;17641.63
2000;1900-01-06 04:00:00;15823.90
2000;1900-01-06 05:00:00;16404.43
2000;1900-01-06 06:00:00;16125.71
2000;1900-01-06 07:00:00;17190.62
2000;1900-01-06 08:00:00;18600.14
2000;1900-01-06 09:00:00;19644.33
2000;1900-01-06 10:00:00;19955.67
2000;1900-01-06 11:00:00;19830.64
2000;1900-01-06 12:00:00;19548.12
2000;1900-01-06 13:00:00;19046.60
2000;1900-01-06 14:00:00;19033.06
2000;1900-01-06 15:00:00;19684.40
2000;1900-01-06 16:00:00;19479.08
2000;1900-01-06 17:00:00;19248.34
2000;1900-01-06 18:00:00;18897.52
2000;1900-01-06 19:00:00;18461.34
2000;1900-01-06 20:00:00;17951.89
2000;1900-01-06 21:00:00;17360.11
2000;1900-01-06 22:00:00;15986.01
2000;1900-01-06 23:00:00;16917.63
2000;1900-01-07 00:00:00;16300.02
2000;1900-01-07 01:00:00;15851.14
2000;1900-01-07 02:00:00;15680.97
2000;1900-01-07 03:00:00;15712.98
2000;1900-01-07 04:00:00;15754.62
2000;1900-01-07 05:00:00;15711.52
2000;1900-01-07 06:00:00;15892.01
2000;1900-01-07 07:00:00;16634.34
2000;1900-01-07 08:00:00;17934.72
2000;1900-01-07 09:00:00;19134.33
2000;1900-01-07 10:00:00;19504.32
2000;1900-01-07 11:00:00;19645.29
2000;1900-01-07 12:00:00;19708.61
2000;1900-01-07 13:00:00;19454.02
2000;1900-01-07 14:00:00;19477.55
2000;1900-01-07 15:00:00;20276.35
