climatic_year;date;value
2000;1900-01-01 00:00:00;68264.17
2000;1900-01-01 01:00:00;65559.38
2000;1900-01-01 02:00:00;64928.24
2000;1900-01-01 03:00:00;65184.66
2000;1900-01-01 04:00:00;66483.60
2000;1900-01-01 05:00:00;69366.56
2000;1900-01-01 06:00:00;73891.97
2000;1900-01-01 07:00:00;76341.37
2000;1900-01-01 08:00:00;76399.49
2000;1900-01-01 09:00:00;77109.24
2000;1900-01-01 10:00:00;77178.54
2000;1900-01-01 11:00:00;77330.74
2000;1900-01-01 12:00:00;77224.30
2000;1900-01-01 13:00:00;77567.21
2000;1900-01-01 14:00:00;78470.95
2000;1900-01-01 15:00:00;79343.96
2000;1900-01-01 16:00:00;79381.81
2000;1900-01-01 17:00:00;78875.69
2000;1900-01-01 18:00:00;77878.82
2000;1900-01-01 19:00:00;76154.35
2000;1900-01-01 20:00:00;74914.69
2000;1900-01-01 21:00:00;72446.17
2000;1900-01-01 22:00:00;70142.51
2000;1900-01-01 23:00:00;67667.27
2000;1900-01-02 00:00:00;67118.05
2000;1900-01-02 01:00:00;66460.28
2000;1900-01-02 02:00:00;65868.57
2000;1900-01-02 03:00:00;66359.06
2000;1900-01-02 04:00:00;69016.62
2000;1900-01-02 05:00:00;73071.77
2000;1900-01-02 06:00:00;77666.61
2000;1900-01-02 07:00:00;79467.95
2000;1900-01-02 08:00:00;78814.40
2000;1900-01-02 09:00:00;78875.96
2000;1900-01-02 10:00:00;77901.96
2000;1900-01-02 11:00:00;77899.88
2000;1900-01-02 12:00:00;77840.15
2000;1900-01-02 13:00:00;78435.38
2000;1900-01-02 14:00:00;79223.40
2000;1900-01-02 15:00:00;80336.49
2000;1900-01-02 16:00:00;80507.22
2000;1900-01-02 17:00:00;79426.49
2000;1900-01-02 18:00:00;78205.00
2000;1900-01-02 19:00:00;76128.09
2000;1900-01-02 20:00:00;74425.94
2000;1900-01-02 21:00:00;71841.77
2000;1900-01-02 22:00:00;69719.87
2000;1900-01-02 23:00:00;67144.30
2000;1900-01-03 00:00:00;65537.99
2000;1900-01-03 01:00:00;64906.34
2000;1900-01-03 02:00:00;64903.95
2000;1900-01-03 03:00:00;65491.25
2000;1900-01-03 04:00:00;67923.18
2000;1900-01-03 05:00:00;73073.22
2000;1900-01-03 06:00:00;77981.35
2000;1900-01-03 07:00:00;79723.80
2000;1900-01-03 08:00:00;79318.23
2000;1900-01-03 09:00:00;79470.55
2000;1900-01-03 10:00:00;78751.84
2000;1900-01-03 11:00:00;78588.43
2000;1900-01-03 12:00:00;78477.13
2000;1900-01-03 13:00:00;78749.69
2000;1900-01-03 14:00:00;79176.85
2000;1900-01-03 15:00:00;80020.28
2000;1900-01-03 16:00:00;81204.73
2000;1900-01-03 17:00:00;80144.53
2000;1900-01-03 18:00:00;78820.77
2000;1900-01-03 19:00:00;76667.50
2000;1900-01-03 20:00:00;74537.03
2000;1900-01-03 21:00:00;71843.14
2000;1900-01-03 22:00:00;69206.05
2000;1900-01-03 23:00:00;66625.86
2000;1900-01-04 00:00:00;65103.60
2000;1900-01-04 01:00:00;64421.30
2000;1900-01-04 02:00:00;64148.08
2000;1900-01-04 03:00:00;64807.67
2000;1900-01-04 04:00:00;67164.63
2000;1900-01-04 05:00:00;71641.40
2000;1900-01-04 06:00:00;76324.03
2000;1900-01-04 07:00:00;78118.90
2000;1900-01-04 08:00:00;80115.52
2000;1900-01-04 09:00:00;80071.46
2000;1900-01-04 10:00:00;79096.80
2000;1900-01-04 11:00:00;78392.59
2000;1900-01-04 12:00:00;78231.57
2000;1900-01-04 13:00:00;78788.61
2000;1900-01-04 14:00:00;80473.84
2000;1900-01-04 15:00:00;82614.71
2000;1900-01-04 16:00:00;83022.17
2000;1900-01-04 17:00:00;82717.10
2000;1900-01-04 18:00:00;81395.31
2000;1900-01-04 19:00:00;79168.71
2000;1900-01-04 20:00:00;77303.74
2000;1900-01-04 21:00:00;74747.04
2000;1900-01-04 22:00:00;72522.73
2000;1900-01-04 23:00:00;69735.23
2000;1900-01-05 00:00:00;68150.10
2000;1900-01-05 01:00:00;67271.18
2000;1900-01-05 02:00:00;67178.64
2000;1900-01-05 03:00:00;68013.34
2000;1900-01-05 04:00:00;70424.46
2000;1900-01-05 05:00:00;75047.65
2000;1900-01-05 06:00:00;80023.24
2000;1900-01-05 07:00:00;82179.21
2000;1900-01-05 08:00:00;82308.52
2000;1900-01-05 09:00:00;82638.87
2000;1900-01-05 10:00:00;81201.08
2000;1900-01-05 11:00:00;80162.93
2000;1900-01-05 12:00:00;79293.20
2000;1900-01-05 13:00:00;79406.26
2000;1900-01-05 14:00:00;80964.80
2000;1900-01-05 15:00:00;82711.62
2000;1900-01-05 16:00:00;82976.94
2000;1900-01-05 17:00:00;81885.27
2000;1900-01-05 18:00:00;80123.14
2000;1900-01-05 19:00:00;77839.64
2000;1900-01-05 20:00:00;75909.57
2000;1900-01-05 21:00:00;73513.94
2000;1900-01-05 22:00:00;71052.34
