date;aggregate_ev;consumption_p
07/01/2030 00:00;fra_v1g;508
07/01/2030 01:00;fra_v1g;467
07/01/2030 02:00;fra_v1g;395
07/01/2030 03:00;fra_v1g;364
07/01/2030 04:00;fra_v1g;316
07/01/2030 05:00;fra_v1g;250
07/01/2030 06:00;fra_v1g;265
07/01/2030 07:00;fra_v1g;659
07/01/2030 08:00;fra_v1g;1019
07/01/2030 09:00;fra_v1g;1223
07/01/2030 10:00;fra_v1g;1284
07/01/2030 11:00;fra_v1g;1251
07/01/2030 12:00;fra_v1g;1079
07/01/2030 13:00;fra_v1g;931
07/01/2030 14:00;fra_v1g;909
07/01/2030 15:00;fra_v1g;845
07/01/2030 16:00;fra_v1g;924
07/01/2030 17:00;fra_v1g;985
07/01/2030 18:00;fra_v1g;1140
07/01/2030 19:00;fra_v1g;1152
07/01/2030 20:00;fra_v1g;1117
07/01/2030 21:00;fra_v1g;1067
07/01/2030 22:00;fra_v1g;995
07/01/2030 23:00;fra_v1g;931
08/01/2030 00:00;fra_v1g;825
08/01/2030 01:00;fra_v1g;764
08/01/2030 02:00;fra_v1g;643
08/01/2030 03:00;fra_v1g;510
08/01/2030 04:00;fra_v1g;397
08/01/2030 05:00;fra_v1g;337
08/01/2030 06:00;fra_v1g;347
08/01/2030 07:00;fra_v1g;687
08/01/2030 08:00;fra_v1g;1025
08/01/2030 09:00;fra_v1g;1171
08/01/2030 10:00;fra_v1g;1266
08/01/2030 11:00;fra_v1g;1220
08/01/2030 12:00;fra_v1g;1045
08/01/2030 13:00;fra_v1g;934
08/01/2030 14:00;fra_v1g;888
08/01/2030 15:00;fra_v1g;828
08/01/2030 16:00;fra_v1g;880
08/01/2030 17:00;fra_v1g;968
08/01/2030 18:00;fra_v1g;1092
08/01/2030 19:00;fra_v1g;1157
08/01/2030 20:00;fra_v1g;1151
08/01/2030 21:00;fra_v1g;1106
08/01/2030 22:00;fra_v1g;1043
08/01/2030 23:00;fra_v1g;967
09/01/2030 00:00;fra_v1g;807
09/01/2030 01:00;fra_v1g;731
09/01/2030 02:00;fra_v1g;636
09/01/2030 03:00;fra_v1g;531
09/01/2030 04:00;fra_v1g;383
09/01/2030 05:00;fra_v1g;326
09/01/2030 06:00;fra_v1g;311
09/01/2030 07:00;fra_v1g;614
09/01/2030 08:00;fra_v1g;923
09/01/2030 09:00;fra_v1g;1129
09/01/2030 10:00;fra_v1g;1238
09/01/2030 11:00;fra_v1g;1161
09/01/2030 12:00;fra_v1g;1020
09/01/2030 13:00;fra_v1g;949
09/01/2030 14:00;fra_v1g;882
09/01/2030 15:00;fra_v1g;847
09/01/2030 16:00;fra_v1g;890
09/01/2030 17:00;fra_v1g;905
09/01/2030 18:00;fra_v1g;1014
09/01/2030 19:00;fra_v1g;1041
09/01/2030 20:00;fra_v1g;1036
09/01/2030 21:00;fra_v1g;993
09/01/2030 22:00;fra_v1g;940
09/01/2030 23:00;fra_v1g;878
10/01/2030 00:00;fra_v1g;770
10/01/2030 01:00;fra_v1g;714
10/01/2030 02:00;fra_v1g;617
10/01/2030 03:00;fra_v1g;491
