date;consumption_p
01/01/2025 00:00;508
01/01/2025 01:00;467
01/01/2025 02:00;395
01/01/2025 03:00;364
01/01/2025 04:00;316
01/01/2025 05:00;250
01/01/2025 06:00;265
01/01/2025 07:00;659
01/01/2025 08:00;1019
01/01/2025 09:00;1223
01/01/2025 10:00;1284
01/01/2025 11:00;1251
01/01/2025 12:00;1079
01/01/2025 13:00;931
01/01/2025 14:00;909
01/01/2025 15:00;845
01/01/2025 16:00;924
01/01/2025 17:00;985
01/01/2025 18:00;1140
01/01/2025 19:00;1152
01/01/2025 20:00;1117
01/01/2025 21:00;1067
01/01/2025 22:00;995
01/01/2025 23:00;931
02/01/2025 00:00;825
02/01/2025 01:00;764
02/01/2025 02:00;643
02/01/2025 03:00;510
02/01/2025 04:00;397
02/01/2025 05:00;337
02/01/2025 06:00;347
02/01/2025 07:00;687
02/01/2025 08:00;1025
02/01/2025 09:00;1171
02/01/2025 10:00;1266
02/01/2025 11:00;1220
02/01/2025 12:00;1045
02/01/2025 13:00;934
02/01/2025 14:00;888
02/01/2025 15:00;828
02/01/2025 16:00;880
02/01/2025 17:00;968
02/01/2025 18:00;1092
02/01/2025 19:00;1157
02/01/2025 20:00;1151
02/01/2025 21:00;1106
02/01/2025 22:00;1043
02/01/2025 23:00;967
03/01/2025 00:00;807
03/01/2025 01:00;731
03/01/2025 02:00;636
03/01/2025 03:00;531
03/01/2025 04:00;383
03/01/2025 05:00;326
03/01/2025 06:00;311
03/01/2025 07:00;614
03/01/2025 08:00;923
03/01/2025 09:00;1129
03/01/2025 10:00;1238
03/01/2025 11:00;1161
03/01/2025 12:00;1020
03/01/2025 13:00;949
03/01/2025 14:00;882
03/01/2025 15:00;847
03/01/2025 16:00;890
03/01/2025 17:00;905
03/01/2025 18:00;1014
03/01/2025 19:00;1041
03/01/2025 20:00;1036
03/01/2025 21:00;993
03/01/2025 22:00;940
03/01/2025 23:00;878
04/01/2025 00:00;770
04/01/2025 01:00;714
04/01/2025 02:00;617
04/01/2025 03:00;491
04/01/2025 04:00;379
04/01/2025 05:00;310
04/01/2025 06:00;324
04/01/2025 07:00;704
04/01/2025 08:00;1043
04/01/2025 09:00;1222
04/01/2025 10:00;1295
04/01/2025 11:00;1254
04/01/2025 12:00;1038
04/01/2025 13:00;882
04/01/2025 14:00;797
04/01/2025 15:00;747
04/01/2025 16:00;842
04/01/2025 17:00;901
04/01/2025 18:00;1049
04/01/2025 19:00;1115
04/01/2025 20:00;1146
04/01/2025 21:00;1085
04/01/2025 22:00;1024
04/01/2025 23:00;953
05/01/2025 00:00;839
05/01/2025 01:00;782
05/01/2025 02:00;658
05/01/2025 03:00;591
05/01/2025 04:00;445
05/01/2025 05:00;383
05/01/2025 06:00;320
05/01/2025 07:00;691
05/01/2025 08:00;1015
05/01/2025 09:00;1151
05/01/2025 10:00;1249
05/01/2025 11:00;1237
05/01/2025 12:00;998
05/01/2025 13:00;885
05/01/2025 14:00;793
05/01/2025 15:00;752
05/01/2025 16:00;842
05/01/2025 17:00;835
05/01/2025 18:00;939
05/01/2025 19:00;1022
05/01/2025 20:00;1062
05/01/2025 21:00;996
05/01/2025 22:00;977
05/01/2025 23:00;916
06/01/2025 00:00;818
06/01/2025 01:00;771
06/01/2025 02:00;662
06/01/2025 03:00;490
06/01/2025 04:00;402
06/01/2025 05:00;303
06/01/2025 06:00;282
06/01/2025 07:00;240
06/01/2025 08:00;286
06/01/2025 09:00;307
06/01/2025 10:00;461
06/01/2025 11:00;533
06/01/2025 12:00;570
06/01/2025 13:00;553
06/01/2025 14:00;676
06/01/2025 15:00;741
06/01/2025 16:00;749
06/01/2025 17:00;737
06/01/2025 18:00;705
06/01/2025 19:00;713
06/01/2025 20:00;703
06/01/2025 21:00;663
06/01/2025 22:00;612
06/01/2025 23:00;545
07/01/2025 00:00;455
07/01/2025 01:00;416
07/01/2025 02:00;357
07/01/2025 03:00;273
07/01/2025 04:00;195
07/01/2025 05:00;169
07/01/2025 06:00;145
07/01/2025 07:00;143
07/01/2025 08:00;156
07/01/2025 09:00;238
07/01/2025 10:00;346
07/01/2025 11:00;432
07/01/2025 12:00;516
07/01/2025 13:00;562
07/01/2025 14:00;550
07/01/2025 15:00;536
07/01/2025 16:00;566
07/01/2025 17:00;545
07/01/2025 18:00;557
07/01/2025 19:00;547
07/01/2025 20:00;572
07/01/2025 21:00;565
07/01/2025 22:00;537
07/01/2025 23:00;506
